the	194235
ing	97763
ion	96235
tio	78647
and	68150
ent	66127
ter	54807
for	54352
est	51963
eth	48599
all	47656
ati	45596
int	44709
tho	43311
ect	42546
con	39185
ere	36873
ate	35979
ons	35083
tes	34134
tha	34125
sin	33831
tin	33826
rea	33739
ted	31997
res	31918
ont	31743
ith	31730
str	31433
her	31270
cti	31226
ers	31160
men	30962
sta	30498
nte	29569
nth	29441
ess	29301
ort	29183
ret	29008
thi	28934
din	28929
yth	28883
sth	28663
ame	28503
use	28407
wit	28283
tri	28262
ver	27589
are	26595
mod	26553
eco	26475
ass	26227
his	26085
not	25710
tor	25681
cal	25595
met	25454
rin	25412
tur	25248
ead	24797
hat	24580
pro	24347
nst	24293
fth	24255
ist	24221
ble	24133
hes	24123
oth	23883
ile	23729
odu	23230
set	23039
edi	22873
par	22868
ins	22830
sto	22715
era	22487
pyt	22446
pre	22426
ule	22356
lin	22157
ein	22133
com	22026
ode	21889
hen	21886
dul	21847
oft	21828
ore	21571
han	21557
hon	21120
ert	20958
fil	20922
hec	20785
ple	20670
ine	20406
etu	20239
val	20100
rec	20083
sed	20022
orm	19805
let	19745
obj	19745
err	19720
jec	19635
las	19592
att	19351
abl	19273
tat	19047
cod	18980
por	18858
bje	18846
les	18836
eme	18821
nce	18773
one	18681
but	18640
nam	18574
ona	18294
tth	18235
cha	18231
urn	18190
nin	18146
typ	18146
tte	18089
unc	17941
ite	17900
ser	17753
cla	17694
ssi	17633
nta	17400
pat	17398
sio	17314
ren	17309
der	17267
ult	17236
ngt	17232
ese	17176
pti	17053
tan	17012
eve	16980
edt	16980
dat	16976
ces	16913
mpl	16753
rat	16750
ete	16742
fun	16740
rth	16734
iti	16731
ype	16551
whe	16401
def	16382
lle	16226
nal	16120
enc	16029
arg	16026
ett	15973
efo	15898
ean	15758
hod	15754
san	15735
nde	15645
can	15555
nct	15490
ste	15369
imp	15221
ute	15175
ext	15125
ror	15040
ume	15035
alu	15021
ses	14965
ind	14921
edb	14802
efi	14758
nts	14726
rom	14719
age	14685
esa	14590
fro	14577
get	14564
eri	14551
sno	14479
ill	14458
rro	14434
nti	14350
omp	14316
sse	14211
tra	14160
add	14143
rsi	14112
non	14101
tim	14071
lue	14018
mat	13809
nge	13804
ase	13793
ara	13791
ede	13778
lat	13710
lea	13650
pec	13650
mes	13596
ack	13579
tot	13418
hep	13371
ive	13352
rac	13297
emo	13245
eto	13149
rib	13142
equ	13103
dth	12924
eda	12880
act	12792
eca	12778
ndi	12747
epr	12659
ono	12636
dto	12613
ime	12595
rse	12555
dby	12545
ndo	12503
che	12502
end	12475
ibu	12464
eis	12420
out	12415
spe	12406
tre	12402
tis	12400
bpo	12384
als	12309
ise	12282
led	12266
red	12254
ain	12232
inc	12224
eat	12223
ori	12215
gth	12184
ace	12181
ten	12166
eof	12120
ref	12109
ath	12098
tch	12086
rre	12059
tem	12048
ali	12021
hef	11970
ndl	11958
ded	11942
oni	11922
ngs	11888
rma	11873
tex	11849
loc	11777
per	11767
sof	11694
ure	11666
tof	11649
ran	11629
ens	11623
atc	11617
lic	11582
win	11572
nco	11566
ene	11562
eci	11546
eso	11523
esi	11499
cat	11475
ear	11404
llo	11372
epa	11369
tst	11241
ttr	11236
ove	11234
sar	11207
ena	11186
fin	11175
und	11115
ven	11011
ock	11002
ata	10997
hea	10995
hed	10908
ast	10858
ini	10852
fer	10818
ail	10791
rep	10787
cep	10777
ica	10776
ntr	10730
ifi	10655
nda	10634
byt	10608
art	10604
ele	10580
hel	10567
man	10558
ang	10540
efa	10540
onf	10507
spa	10472
ire	10463
ina	10442
tru	10418
wil	10410
tal	10378
ope	10365
ept	10343
hem	10340
lem	10337
ord	10327
oun	10279
has	10209
ner	10168
een	10157
esp	10132
rit	10127
cte	10125
het	10073
opt	10072
nit	10068
esu	10016
nmo	10008
ors	10004
edo	10000
ide	9963
whi	9901
hou	9900
low	9843
ema	9813
sho	9804
iss	9783
dis	9777
nto	9761
onl	9731
ars	9729
app	9715
sti	9698
ram	9660
ber	9660
dle	9635
new	9619
inm	9574
oul	9551
its	9550
tar	9535
ero	9530
cto	9506
isn	9500
nse	9483
lis	9472
thr	9435
uld	9403
tto	9378
sup	9356
isi	9346
cre	9321
sis	9277
len	9259
har	9211
rgu	9173
ger	9168
erw	9147
lec	9126
fau	9125
aul	9125
rst	9110
cur	9090
